"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"Jaguaruna","Infraestrutura e obras","PAVIMENTAÇÕES DE RUAS DO MUNICÍPIO","200000.00","emendas#16","","","PAGO","","","sim"
"Jaguaruna","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA 1º DE MAIO","100000.00","emendas#15","","","PAGO","","","sim"
"Imbituba","Outros","CONSTRUÇÃO SEDE AMAI (SOLICITAR TROCA COMPRA DE MOBILIÁRIO A SEDE DA AMAI EM 2026)","100000.00","emendas#14","","","SOLICITADO TROCA","","","validar"
"Imbituba","Educação e inovação","REFORMA DA ESCOLA BÁSICA BASILEU JOSÉ DA SILVA","200000.00","emendas#13","","","PAGO","","","sim"
"Içara","Outros","COMPRA DE 1 VEÍCULO","100000.00","emendas#12","","","PAGO","","","validar"
"Içara","Outros","CONSTRUÇÃO DE NOVO CENTRO COMUNITÁRIO NO BAIRRO PRESIDENTE VARGAS","300000.00","emendas#11","","","PAGO","","","validar"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA 17 DE DEZEMBRO","300000.00","emendas#10","","","PAGO","","","sim"
"Gravatal","Infraestrutura e obras","RUA COBERTA TERMAS (TROCA OBJETO -> CAMINHÃO SECRETARIA DE INFRAESTRUTURA)","400000.00","emendas#9","","","PAGO","","","sim"
"Grão-Pará","Saúde e assistência social","INTUITO DE DIMINUIR AS FILAS DO SUS DE CIRURGIAS ELETIVAS","200000.00","emendas#8","","","PAGO","","","sim"
"Gaspar","Autismo (TEA)","CONSULTAS MÉDICAS (TROCA OBJETO -> APOIO FINANCEIRO SAÚDE NEURO TEA","150000.00","emendas#7","","","PAGO","","","sim"
"Garopaba","Infraestrutura e obras","MELHORIA DA INFRAESTRUTURA DA REDE MUNICIPAL","800000.00","emendas#6","","","PAGO","","","sim"
"Criciúma","Infraestrutura e obras","PAVIMENTAÇÃO PARA O MUNICÍPIO","300000.00","emendas#5","","","PAGO","","","sim"
"Capivari de Baixo","Autismo (TEA)","APAE - SOLICITAÇÃO DE EDIFICAÇÃO DE DUAS SALAS DE AULA E BANHEIRO","100000.00","emendas#4","","","PRONTO","","","sim"
"Braço do Norte","Outros","CONSTRUÇÃO DE PONTOS DE PASSAGEIROS","100000.00","emendas#3","","","PAGO","","","validar"
"Braço do Norte","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA SANTA DELLA GIUSTINA","150000.00","emendas#2","","","PAGO","","","sim"
"Braço do Norte","Infraestrutura e obras","APOIO FINANCEIRO PARA INFRAESTRUTURA","300000.00","emendas#1","","","PAGO","","","sim"
"Santa Catarina","Atuação legislativa","Altera o inciso VI do parágrafo único do art. 173 da Constituição do Estado de Santa Catarina, para incluir a Sociedade Musical União dos Artistas na concessão de apoio administrativo, técnico e financeiro, por parte do Estado, a entidades culturais.","","alesc#PEC/0006/2025","","","EM COMISSÕES","","","sim"
"Tubarão","Atuação legislativa","Revoga o item 84 referente ao Município de Tubarão do Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para excluir do rol das entidades declaradas de utilidade pública estadual a Fundação Universidade do Sul de Santa Catarina (UNISUL)","","alesc#PL./0029/2023","","","LEI Nº 18.644/2023","","","sim"
"Santa Catarina","Atuação legislativa","Denomina Armando Machado o trecho da Rodovia Estadual SC-100, entre o entrocamento da SC-441 (Jaguaruna, SC- 100 KM, 34,130), e Balneário Arroio Corrente (Jaguaruna, SC-100) o Anexo II da Lei nº 16.720, de 2015, que ""Consolida as Leis que dispõem sobre denominação de bens públicos no âmbito do Estado de Santa Catarina"".","","alesc#PL./0049/2026","","","LEI Nº 19.927/2026","","","sim"
"São José","Atuação legislativa","Declara de utilidade pública o Instituto Conecta+ de São José e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0050/2026","","","EM COMISSÕES","","","sim"
"Tubarão","Atuação legislativa","Declara de utilidade pública o Instituto Rota Sul de Ciência e Tecnologia, de Tubarão e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0051/2026","","","LEI Nº 19.900/2026","","","sim"
"Santa Catarina","Atuação legislativa","Altera o parágrafo único do art. 24 da Lei nº 17.292, de 19 de outubro de 2017, que consolida a legislação que dispõe sobre os direitos das pessoas com deficiência, para estabelecer preferência na designação do segundo professor para estudante com Transtorno do Espectro Autista.","","alesc#PL./0052/2026","","","EM COMISSÕES","","","sim"
"Rio Rufino","Atuação legislativa","Declara de utilidade pública Associação de Pais e Amigos do Autista, de Rio Rufino - AMA e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0054/2026","","","LEI Nº 20.032/2026","","","sim"
"Jaguaruna","Atuação legislativa","Institui a Festa da Melancia, no Município de Jaguaruna, e altera o Anexo Único da Lei nº 18.531, de 2022, que ""Consolida as leis que instituem datas e eventos alusivos no âmbito do Estado de Santa Catarina e estabelece o Calendário Oficial do Estado"", para incluir referida data alusiva no Calendário Oficial do Estado de Santa Catarina","","alesc#PL./0067/2023","","","LEI Nº 18.740/2023","","","sim"
"Rio Negrinho","Atuação legislativa","Declara de utilidade pública Grupo Escoteiro Arnaldo Almeida de Oliveira, de Rio Negrinho e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0077/2025","","","LEI Nº 19.402/2025","","","sim"
"Capivari de Baixo","Atuação legislativa","Declara de utilidade pública a Associação dos Clubes de Mães de Capivari de Baixo, de Capivari de Baixo, e altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para fazer constar nele o nome de tal entidade.","","alesc#PL./0089/2026","","","LEI Nº 19.885/2026","","","sim"
"Antônio Carlos","Atuação legislativa","Declara de utilidade pública a Associação Coral Poesis, de Antônio Carlos, e altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para fazer constar nele o nome de tal entidade.","","alesc#PL./0090/2026","","","LEI Nº 19.987/2026","","","sim"
"Laguna","Atuação legislativa","Declara de utilidade pública a Associação Amigos da Praça Nelson Moreira Netto, de Laguna, e altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para fazer constar nele o nome de tal entidade.","","alesc#PL./0111/2026","","","LEI Nº 19.904/2026","","","sim"
"Garopaba","Atuação legislativa","Declara de utilidade pública o Grupo de Escoteiro Ilha Terceira, de Garopaba e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade","","alesc#PL./0121/2023","","","LEI Nº 18.729/2023","","","sim"
"Tubarão","Atuação legislativa","Declara de utilidade pública Associação de Voleibol Tubaronense - AVT, de Tubarão e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0134/2024","","","LEI Nº 19.001/2024","","","sim"
"Braço do Norte","Atuação legislativa","Declara de utilidade pública o Centro de Reabilitação Luz e Vida - CVL, de Braço do Norte e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0137/2025","","","LEI Nº 19.385/2025","","","sim"
"Santa Catarina","Atuação legislativa","Declara de utilidade pública Associação dos Padelistas Brasileiros e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0213/2024","","","LEI Nº 19.066/2024","","","sim"
"Santa Catarina","Atuação legislativa","Declara de Patrimônio Cultural Imaterial do Estado o Tombo da Polenta, e Altera o Anexo Único da Lei nº 17.565, de 2018, que ""Consolida as Leis que dispõem sobre o Patrimônio Cultural do Estado de Santa Catarina"".","","alesc#PL./0220/2024","","","RESPONDIDA A DILIGÊNCIA","","","sim"
"Tijucas","Atuação legislativa","Declara de utilidade pública Associação de Pais e Amigos do Autista de Tijucas /SC - AMA, com sede em Tijucas e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0221/2024","","","LEI Nº 19.049/2024","","","sim"
"Tubarão","Atuação legislativa","Declara de utilidade pública a Associação Atlética Banco do Brasil - AABB, de Tubarão, e altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0228/2026","","","LEI Nº 19.889/2026","","","sim"
"Santa Catarina","Atuação legislativa","Altera o art. 10 da Lei nº 18.334, de 2022, que institui o Fundo Estadual de Promoção Social e Erradicação da Pobreza (FUNDO SOCIAL), para permitir a destinação alternativa de recursos vinculados a benefícios fiscais à instalação de sistemas fotovoltaicos em hospitais filantrópicos.","","alesc#PL./0257/2025","","","LEI Nº 19.785/2026","","","sim"
"Santa Catarina","Atuação legislativa","Acrescenta dispositivo à Lei nº 19.093, de 8 de novembro de 2024, para dispor sobre o ressarcimento de recursos próprios empregados pelos Municípios na execução de planos de trabalho em decorrência de atraso ou suspensão de repasses estaduais.","","alesc#PL./0259/2025","","","RETIRADO","","","sim"
"Santa Catarina","Atuação legislativa","Institui a Rota Turística das Águas Termais no Estado de Santa Catarina.","","alesc#PL./0265/2022","","","LEI Nº 18.673/2023","","","sim"
"Santa Catarina","Atuação legislativa","Dispõe sobre o incentivo à realização de sessão de cinema adaptada a crianças e adolescentes com Transtorno do Espectroautista (TEA) e suas famílias.","","alesc#PL./0266/2022","","","LEI Nº 19.160/2025","","","sim"
"Santa Catarina","Atuação legislativa","Institui a Política de Incentivo à Ovinocaprinocultura no âmbito do Estado de Santa Catarina.","","alesc#PL./0269/2022","","","LEI Nº 19.225/2025","","","sim"
"Santa Catarina","Atuação legislativa","Altera a Lei nº 16.473, de 2014, que ""Dispõe sobre a prestação de serviços farmacêuticos pelas farmácias e drogarias e adota outras providências"", para o fim de internalizar no Estado de Santa Catarina a Resolução da Agência Nacional de Vigilância Sanitária (ANVISA) nº 786, de 10 de janeiro de 2023, que estabelece condições seguras para a execução dos Exames de Análises Clínicas (EAC) em farmácias","","alesc#PL./0281/2023","","","LEI Nº 19.011/2024","","","sim"
"São José","Atuação legislativa","Declara de utilidade pública a Associação Josefense de Judô - IPPON, de São José e altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0297/2026","","","EM COMISSÕES","","","sim"
"Santa Catarina","Atuação legislativa","Dispõe sobre Protocolo Individualizado de Avaliação (PIA) para os alunos com Transtornos Globais do Desenvolvimento, incluindo-se Transtorno do Espectro Autista - TEA, nas Instituições de Ensino do Estado de Santa Catarina","","alesc#PL./0322/2023","","","EM COMISSÕES","","","sim"
"Santa Catarina","Atuação legislativa","Concede o Título de Cidadã Catarinense à Vivian Garcia Selig.","","alesc#PL./0324/2024","","","LEI Nº 19.068/2024","","","sim"
"Paulo Lopes","Atuação legislativa","Reconhece o Município de Paulo Lopes como Capital Catarinense da Lagoa do Coração e altera o Anexo Único da Lei nº 16.722, de 2015, que ""Consolida as Leis que conferem denominação adjetiva aos Municípios catarinenses"".","","alesc#PL./0370/2025","","","LEI Nº 19.599/2025","","","sim"
"Nova Veneza","Atuação legislativa","Declara de utilidade pública a Associação Cultural - Camerata Di Venezia, de Nova Veneza, e altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para fazer constar nele o nome de tal entidade.","","alesc#PL./0379/2026","","","LEI Nº 20.066/2026","","","sim"
"Tubarão","Atuação legislativa","Declara de utilidade pública o Centro de Tradição Gaúcha Alma da Tradição, de Tubarão, e altera o Anexo Único da Lei nº 18.278, de 20 de dezembro de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para fazer constar nele o nome de tal entidade.","","alesc#PL./0397/2026","","","EM COMISSÕES","","","sim"
"Laguna","Atuação legislativa","Declara de utilidade pública Associação São Judas Tadeu - Casa da Gente, de Laguna e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0421/2024","","","EM COMISSÕES","","","sim"
"Capivari de Baixo","Atuação legislativa","Declara de utilidade pública a Associação de Pais e Amigos do Centro de Futebol Zuco, de Capivari de Baixo, e altera o Anexo Único da Lei nº 18.278, de 20 de dezembro de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"", para fazer constar nele o nome de tal entidade.","","alesc#PL./0457/2026","","","EM COMISSÕES","","","sim"
"Santa Catarina","Atuação legislativa","Declara de utilidade pública a Rede Caixa Solidária Brasil, de e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0498/2024","","","LEI Nº 19.217/2025","","","sim"
"Santa Catarina","Atuação legislativa","Dispõe sobre a inclusão da Educação Moral e Cívica como conteúdo transversal no currículo da educação básica das escolas públicas e privadas do Estado de Santa Catarina e dá outras providências.","","alesc#PL./0542/2024","","","EM COMISSÕES","","","sim"
"Santa Catarina","Atuação legislativa","Concede o Título de Cidadão Catarinense a Rubens Renato Angelotti.","","alesc#PL./0577/2025","","","LEI Nº 19.477/2025","","","sim"
"Santa Catarina","Atuação legislativa","Altera o Anexo I da Lei no 16.720, de 2015, que ""Consolida as Leis que dispõe sobre denominação de bens públicos no âmbito do Estado de Santa Catarina"", para o fim de denominar Michael Carvalho de Sousa a Quadra Poliesportiva Coberta da E.E.B. Machado Luz no município de Jaguaruna.","","alesc#PL./0662/2025","","","LEI Nº 19.925/2026","","","sim"
"Tubarão","Atuação legislativa","Declara de utilidade pública a Associação Conexão Comunitária, de Tubarão e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0665/2025","","","LEI Nº 19.908/2026","","","sim"
"Capivari de Baixo","Atuação legislativa","Declara de utilidade pública a Associação de Amparo Aos Necessitados de Capivari de Baixo -SC - ASANC, de Capivari de Baixo e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0742/2025","","","LEI Nº 19.895/2026","","","sim"
"Tubarão","Atuação legislativa","Declara de utilidade pública o Conselho Comunitário de Sertão dos Corrêas, de Tubarão e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0921/2025","","","EM COMISSÕES","","","sim"
"Treze de Maio","Atuação legislativa","Declara de utilidade pública Associação Trilheiros do Treze, de Treze de Maio e Altera o Anexo Único da Lei nº 18.278, de 2021, que ""Consolida os atos normativos que concedem o Título de Utilidade Pública estadual no âmbito do Estado de Santa Catarina"" para fazer constar nele o nome de tal entidade.","","alesc#PL./0922/2025","","","EM COMISSÕES","","","sim"
