"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"Pedras Grandes","Autismo (TEA)","SAÚDE - REABILITAÇÃO DE PESSOAS COM ESPECTRO AUTISTA ATRAVÉS DE EQUOTERAPIA","150000.00","emendas#151","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Orleans","Autismo (TEA)","SAÚDE - REABILITAÇÃO DE PESSOAS COM ESPECTRO AUTISTA ATRAVÉS DE EQUOTERAPIA","150000.00","emendas#150","","","EM ANALISE","","","sim"
"Laguna","Autismo (TEA)","SAÚDE - REABILITAÇÃO DE PESSOAS COM ESPECTRO AUTISTA ATRAVÉS DE EQUOTERAPIA","250000.00","emendas#149","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Gravatal","Autismo (TEA)","SAÚDE - REABILITAÇÃO DE PESSOAS COM ESPECTRO AUTISTA ATRAVÉS DE EQUOTERAPIA","150000.00","emendas#148","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Vitor Meireles","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","100000.00","emendas#147","","","PAGO","","","sim"
"Urussanga","Entidades","AQUISIÇÃO DE MOBILIÁRIOS E EQUIPAMENTOS PARA A ASSOCIAÇÃO AMICI DELLA POLENTA (era reforma da sede da associação)","150000.00","emendas#146","","","SOLICITADO TROCA","","","sim"
"Tubarão","Social, esporte e lazer","AQUISIÇAO MOBILIA E EQUIP DE SOM E VIDEO ORQUESTRA SANTA TERESINHA DO MENINO JESUS","150000.00","emendas#145","","","EM ANALISE","","","sim"
"Treze Tílias","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","100000.00","emendas#144","","","PAGO","","","sim"
"Treviso","Saúde e assistência social","CUSTEIO SAUDE","100000.00","emendas#143","","","PAGO","","","sim"
"Timbé do Sul","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","100000.00","emendas#142","","","PAGO","","","sim"
"São João do Sul","Agricultura","AQUISIÇAO DE EQUIPAMENTOS AGRICOLAS","100000.00","emendas#141","","","PAGO","","","sim"
"Cocal do Sul","Educação e inovação","INFRAESTRUTURA ESCOLAR DO ENSINO FUNDAMENTAL","100000.00","emendas#140","","","SOLICITADO TROCA","","","sim"
