fonte,ig_media_id,object_story_id,tipo,data,permalink,legenda
"instagram","18080731637642171","","REELS","2026-06-10T20:25:22+0000","https://www.instagram.com/reel/DZayE7cAE8M/","🚒 SEGURANÇA QUE FICA PARA O FUTURO Mais uma importante entrega para o"
"instagram","18365618287224538","","REELS","2026-06-08T17:50:03+0000","https://www.instagram.com/reel/DZVXanCP3zk/","🏗️💙 MAIS ESPAÇO. MAIS INCLUSÃO. MAIS FUTURO. As novas salas da APAE "
"instagram","18078062003399096","","FEED","2026-06-07T16:30:52+0000","https://www.instagram.com/p/DZSpoECPRhN/","🎉🌽 TEMPO DE FESTA JUNINA! Chegou uma das épocas mais bonitas do ano,"
"instagram","18075823358669442","","REELS","2026-06-04T16:18:17+0000","https://www.instagram.com/reel/DZK3rAIAXMM/","🍝🇮🇹 LA BELLA POLENTA! 🇮🇹🍝 Tem sabores que alimentam muito mais d"
"instagram","17898516051305004","","REELS","2026-06-01T16:35:53+0000","https://www.instagram.com/reel/DZDNYkdgMZL/","🇧🇷 O BRASIL PRECISA VOLTAR A ENSINAR VALORES Estamos formando geraçõ"
"instagram","18140189095472938","","FEED","2026-05-30T14:59:10+0000","https://www.instagram.com/p/DY946lRgCGN/","JUDÔ E VALORES 🥋❤️ O esporte ensina muito mais do que técnica. Ensina"
"instagram","17864449188629223","","REELS","2026-05-29T20:05:06+0000","https://www.instagram.com/reel/DY72zyzOl2L/","ONDE A DONA ALZA FALOU, TÁ FALADO! 🚜🛣️ Mais uma conquista importante"
"instagram","18591510112014083","","REELS","2026-05-28T00:05:52+0000","https://www.instagram.com/reel/DY3I1OGMHrm/","Feliz aniversário, Tubarão! 💙 São 156 anos de uma cidade cheia de his"
"instagram","18108383446913089","","FEED","2026-05-27T12:15:39+0000","https://www.instagram.com/p/DY130ZBAG5i/","156 anos de uma cidade feita por gente forte. ❤️ Tubarão já enfrentou "
"instagram","18009298289863585","","FEED","2026-05-26T15:59:40+0000","https://www.instagram.com/p/DYzsqQ2gO3n/","Tem coisa que só quem é Catarina compreende. E a gente tem orgulho de "
"instagram","18163721599429965","","FEED","2026-05-24T22:07:43+0000","https://www.instagram.com/p/DYvNMOEAP9N/","FORTALECENDO NOSSAS RAÍZES 🌾✨ Que alegria participar dessa linda feir"
"instagram","17897901354450290","","REELS","2026-05-22T15:35:25+0000","https://www.instagram.com/reel/DYpVlVOAFlj/","MAIS QUALIDADE DE VIDA! 🚧👏 A Rua do Teixaco, em Braço do Norte, vai "
"instagram","18066972350364107","","REELS","2026-05-18T12:54:17+0000","https://www.instagram.com/reel/DYewg67grRe/","“Made in China” AQUI É MADE IN BRASIL!!!🇧🇷⚡ A EIKTO, instalada em La"
"instagram","18067300955362165","","REELS","2026-05-15T21:16:48+0000","https://www.instagram.com/reel/DYX79IHOOxS/","🏗️ MORRO DA FUMAÇA AVANÇANDO O que hoje é projeto, amanhã será realid"
"instagram","17885194002550245","","REELS","2026-05-12T11:17:20+0000","https://www.instagram.com/reel/DYPI4gPAXfs/","TUBARÃO MERECE MAIS! Tenho muito orgulho de representar essa cidade qu"
"instagram","18085067798526167","","FEED","2026-05-10T13:07:54+0000","https://www.instagram.com/p/DYKMSKsgIiP/","Hoje é dia de homenagear quem é o alicerce da minha família. ❤️ @brubr"
"instagram","17888076150485997","","FEED","2026-05-09T01:25:23+0000","https://www.instagram.com/p/DYGWgb8jdi7/","AQUI É O BRASIL QUE QUEREMOS! 🇧🇷 #flaviobolsonaro #brasil #santacata"
"instagram","18102261668113906","","REELS","2026-05-08T21:10:05+0000","https://www.instagram.com/reel/DYF5ONIMPKD/","ITAIÓPOLIS E SUAS RAÍZES 🇵🇱❤️ Hoje tivemos a alegria de visitar a tr"
"instagram","18098654588322981","","FEED","2026-05-05T20:10:23+0000","https://www.instagram.com/p/DX-EPz4mQ3_/","Estamos escalados pra esse ano! 🇧🇷 🛡️Saíram as figurinhas do time q"
"instagram","18110499196678145","","REELS","2026-05-04T23:22:57+0000","https://www.instagram.com/reel/DX71SHmtdk6/","ENERGIA QUE MOVE SANTA CATARINA ⚡ Hoje foi dia de reconhecer uma histó"
"instagram","17905513992413205","","REELS","2026-05-02T20:54:43+0000","https://www.instagram.com/reel/DX2bA8eBzyP/","MAIS INVESTIMENTO NO CAMPO 🚜 Seguimos trabalhando e entregando result"
"instagram","18000978434934061","","REELS","2026-04-30T20:43:33+0000","https://www.instagram.com/reel/DXxPuwKhZLj/","INVESTIMENTO QUE TRANSFORMA 🌟 Uma obra que vai mudar a cara de Itupor"
"instagram","18393800704152928","","REELS","2026-04-29T17:17:04+0000","https://www.instagram.com/reel/DXuTuKagIZM/","IMPOSTO QUE FICA NA CIDADE 💰 Você sabia que pode destinar parte do se"
"instagram","18065478617342975","","REELS","2026-04-27T20:37:40+0000","https://www.instagram.com/reel/DXpg2Nqgewx/","AUTISMO E IPVA: UM DIREITO QUE MUITA GENTE AINDA NÃO SABE 🚗💙 Muita g"
"instagram","18101691781783751","","REELS","2026-04-23T22:18:45+0000","https://www.instagram.com/reel/DXfY_UJADqI/","INVESTIMENTO QUE CHEGA NA PONTA 🚜 Hoje estive em Presidente Nereu faz"
"instagram","18006979136715125","","FEED","2026-04-22T21:03:51+0000","https://www.instagram.com/p/DXcscZTALQ3/","AUTISMO NÃO É TUDO IGUAL 🧩💙 Você sabia que existem níveis de autismo"
"instagram","18122907250620732","","REELS","2026-04-20T20:44:33+0000","https://www.instagram.com/reel/DXXfaTDgYUU/","TRADIÇÃO QUE SEGUE VIVA 🤠 Não é só um galpão. É história. É identidad"
"instagram","17936072847211722","","REELS","2026-04-19T20:43:25+0000","https://www.instagram.com/reel/DXU6Z_DAQ_z/","DESENVOLVIMENTO QUE CHEGA NA PONTA 🚧 Mais uma conquista para Orleans!"
"instagram","18096879533276749","","REELS","2026-04-18T23:39:01+0000","https://www.instagram.com/reel/DXSpzuzDbPb/","Um jogo de tênis com o mestre @esperidiaoamin! 🎾"
"instagram","18092004025920056","","REELS","2026-04-17T22:07:30+0000","https://www.instagram.com/reel/DXP619fAG0C/","NÃO FOI SORTE. FOI TRABALHO 💪 Falar que Santa Catarina “ganhou tudo” "
"instagram","18113246866764507","","REELS","2026-04-17T19:12:29+0000","https://www.instagram.com/reel/DXPmqjdkRsv/","RESULTADO QUE APARECE 👷‍♂️ Aqui não é promessa. É investimento que sa"
"instagram","18168561904411390","","REELS","2026-04-15T20:20:19+0000","https://www.instagram.com/reel/DXKkyJECden/","AUTISMO É PRIORIDADE 💙 Todo pai e toda mãe de uma criança com autismo"
"instagram","18570686446056302","","FEED","2026-04-14T18:00:11+0000","https://www.instagram.com/p/DXHxENNkagh/","NÃO É SÓ TECNOLOGIA ⚠️ Parece inovação. Parece só evolução. Mas por tr"
"instagram","17933329614215534","","REELS","2026-04-13T19:47:28+0000","https://www.instagram.com/reel/DXFXtFciYUT/","AUTISMO 🧩"
"instagram","18117306994636956","","FEED","2026-04-11T20:59:59+0000","https://www.instagram.com/p/DXAXQawkeNH/","AUTISMO E O PAPEL DO PAI 🧩 A ciência começa a mostrar que o cuidado v"
"instagram","18088439765520125","","REELS","2026-04-10T15:23:34+0000","https://www.instagram.com/reel/DW9LIjfgFbP/","MAIS PAVIMENTAÇÃO, MAIS QUALIDADE DE VIDA 🛣️ Uma máquina que vai acel"
"instagram","18405435850181700","","FEED","2026-04-08T17:12:12+0000","https://www.instagram.com/p/DW4OzcjAOBh/","AUTISMO É PRIORIDADE 💙 Abril é o mês de conscientização, mas o nosso "
"instagram","18179185780386402","","FEED","2026-04-06T15:39:29+0000","https://www.instagram.com/p/DWy6VG0APMa/","RECONHECIMENTO QUE NOS MOTIVA 🙏✨ Receber essa homenagem da STAN (Asso"
"instagram","18103987951915347","","FEED","2026-04-03T21:21:34+0000","https://www.instagram.com/p/DWrzXfMAS8D/","RECONHECIMENTO QUE NOS MOVE 💙 Recebi com muita gratidão uma moção de "
"instagram","18094544249017782","","REELS","2026-04-01T13:28:07+0000","https://www.instagram.com/reel/DWlyjIAgJDv/","INVESTIMENTO QUE TRANSFORMA 🧩 No mês do Abril Azul, reforçamos uma pa"
"instagram","18075091364539833","","REELS","2026-03-29T18:23:37+0000","https://www.instagram.com/reel/DWemlKZkQn7/","O pau que rola nas redes é que vale a pena ter deputado na região… ser"
"instagram","18176512939382317","","FEED","2026-03-27T15:34:44+0000","https://www.instagram.com/p/DWZKHHEgFri/","ENERGIA SOLAR PARA FORTALECER QUEM SALVA VIDAS ☀️❤️ A conta de luz pes"
"instagram","17872569948578753","","REELS","2026-03-26T23:20:17+0000","https://www.instagram.com/reel/DWXZ9N9DTsn/","#TBT QUE VIRA COMPROMISSO 🐾 Hoje é dia de lembrar… mas também de refo"
"instagram","18116830186649172","","FEED","2026-03-26T01:36:48+0000","https://www.instagram.com/p/DWVFbCkjZde/","ORGULHO PROGRESSISTA! 💙"
"instagram","18084682163585820","","REELS","2026-03-24T21:10:59+0000","https://www.instagram.com/reel/DWSB0lWAfTj/","REDRAGAGEM É PRIORIDADE Essa é uma luta antiga. E eu sempre estive do "
"instagram","18099978394766972","","REELS","2026-03-22T18:27:00+0000","https://www.instagram.com/reel/DWMlY0GgGV-/","ENERGIA SOLAR PARA QUEM SALVA VIDAS ☀️❤️ Reduzir custos e dar mais fôl"
"instagram","17995812554923670","","FEED","2026-03-20T21:48:30+0000","https://www.instagram.com/p/DWHzUh1gdmZ/","A última vai te surpreender! 👀🍍 Comenta aqui a que você achou mais c"
"instagram","18056565071467436","","REELS","2026-03-19T17:34:43+0000","https://www.instagram.com/reel/DWExUaWgHZf/","MENOS DISCURSO, MAIS RESULTADO 🏥✅ A nova máquina de endoscopia já che"
"instagram","17915584965318386","","FEED","2026-03-18T21:06:05+0000","https://www.instagram.com/p/DWCkUfKgRkT/","MENOS CUSTO, MAIS CUIDADO COM OS HOSPITAIS☀️🏥 Aprovamos na Alesc um p"
"instagram","17943740796137856","","FEED","2026-03-16T14:08:50+0000","https://www.instagram.com/p/DV8rEJIjcGz/","UNIDOS PELO RIO URUSSANGA 🌊 Quando falamos em redragagem do Rio Uruss"
