id,nome,campaign_id,campanha,otimizacao,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,orcamento_diario_brl,orcamento_total_brl
120217872415750716,"[CCR][Video View REGIAO][Visualização de video][11/02/24][INSTR$50,00] — Cópia — Cópia",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,29.92,7999,7055,15,3.74,0.19,0.0,0.0
120221379908960716,"[cENSO SERETA][Video View Brasil][Visualização de video][02/04/25][INSTR$30,00",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,THRUPLAY,CAMPAIGN_PAUSED,29.88,5919,5888,13,5.05,0.22,0.0,30.0
120228235738500716,[civismo]Video View Brasil][17/06/25][INSTR$30,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,THRUPLAY,CAMPAIGN_PAUSED,29.8,4321,4075,14,6.9,0.32,0.0,30.0
120241645896280716,"JACINTO MACHADO[view][INSTAGRAN][R$30,00] 20/03/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,29.66,4492,4105,10,6.6,0.22,0.0,30.0
120232686826560716,"7 DE SETEMBRO [TER DEOUTADO NAREGIÃO][POST FEED TUBARÃP][Visualização de Feed][06/09/25][INSTR$30,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,POST_ENGAGEMENT,Not available,29.56,2894,2267,141,10.21,4.87,0.0,0.0
120226778433190716,"[Dark Story Aniversario Tubarão][Video View SC][27/05/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,POST_ENGAGEMENT,CAMPAIGN_PAUSED,28.99,3800,3269,8,7.63,0.21,0.0,30.0
120247804125870716,TUBARAO +JAGUA,120246784137180716,CAMP | 2026 | Institucional | Reconhecimento | SC,THRUPLAY,PAUSED,28.57,6628,5831,191,4.31,2.88,0.0,100.0
120245309094000716,"BRACO DO NORTE[ VISUALIZAÇÃO INSTA] [25-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,THRUPLAY,CAMPAIGN_PAUSED,19.79,5531,5227,61,3.58,1.1,0.0,70.0
120216701643950716,"FEED-PEPE COLLAÇÕ][Video View SC][Visualização de Feed][18/02/25][INSTR$20,00] — Cópia",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,POST_ENGAGEMENT,Not available,19.78,1826,1433,8,10.83,0.44,0.0,0.0
120217155103910716,"[CCR][Video View REGIAO][Visualização de video][11/02/24][INSTR$50,00] — Cópia",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],THRUPLAY,Not available,18.0,4108,4095,15,4.38,0.37,0.0,0.0
120216702817970716,"[Story Enquete][Video View SC][Visualização de video][18/02/25][INSTR$20,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,POST_ENGAGEMENT,CAMPAIGN_PAUSED,17.94,3620,3381,24,4.96,0.66,0.0,18.0
120228099277170716,[civismo]Video View Brasil][15/06/25][INSTR$30,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,THRUPLAY,Not available,11.49,1758,1698,5,6.54,0.28,0.0,0.0
120216047481550716,"FEED-[CCJ PEPE COLLAÇÕ][Video View SC][Visualização de Feed][08/02/25][INSTR$50,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,POST_ENGAGEMENT,Not available,6.64,614,563,7,10.81,1.14,0.0,0.0
120243920324010716,"SERÁ?[view][INSTAGRAN][R$140,00 03/05/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,PAUSED,1.14,334,334,2,3.41,0.6,0.0,150.0
