id,nome,campaign_id,campanha,adset_id,objetivo,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,engajamento,video_plays
120237899120160716,"LEITE[view][INSTAGRAN][R$70,00 07/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120237899120170716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.97,31714,25012,719,2.21,2.27,12743,30443
120244304732530716,"CAPIVARI DE BAIXO[ VISUALIZAÇÃO INSTA] [09-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,120244304728460716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.96,13233,10692,154,5.29,1.16,6535,12616
120214005958270716,[SENSO AUT][video view][Região Sul][R$50][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120214005958280716,OUTCOME_ENGAGEMENT,Not available,69.95,8013,7024,17,8.73,0.21,5702,7680
120243057190980716,"ITUPORANGA[ VISUALIZAÇÃO INSTA] [19-04-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,120243057190970716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.94,21166,17339,323,3.3,1.53,13822,20366
120242757736840716,"WITMARSUN[ VISUALIZAÇÃO INSTA] [13-04-2926 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,120242757736850716,OUTCOME_ENGAGEMENT,Not available,69.93,21723,15692,44,3.22,0.2,9635,21072
120240176808380716,"NOVA VENEZA Metropolitano [view][INSTAGRAN][R$70,00 09/02/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120240176808370716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.93,19891,17988,77,3.52,0.39,13514,19007
120238735780790716,"NATAL[view][INSTAGRAN][R$50,00 26/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120238735780780716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.93,18983,15526,42,3.68,0.22,9822,17639
120237106019020716,"TILAPIA [view][INSTAGRAN][R$70 ,00 24/11/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120237106019010716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.89,17333,16543,27,4.03,0.16,10211,17006
120239801466590716,"NOVA VENEZA[view][INSTAGRAN][R$70,00 29/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120239801466600716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.87,22080,18885,95,3.16,0.43,14911,20720
120240898834750716,"SENADOR AMIN[view][INSTAGRAN][R$70,00] 01/03/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120240898834480716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.86,22551,18607,689,3.1,3.06,14937,21339
120239801416900716,"RIO FORTUNA[view][INSTAGRAN][R$70,00 29/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120239801416890716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.78,19240,15181,93,3.63,0.48,11638,17697
120244305187050716,"ITAIOPOLIS[ VISUALIZAÇÃO INSTA] [09-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,120244305187040716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.75,18863,16312,383,3.7,2.03,13605,18155
