campaign_id,nome,objetivo,status,inicio,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct
120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,OUTCOME_ENGAGEMENT,PAUSED,2025-02-11,3374.92,889513,328205,10182,3.79,1.14
120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,OUTCOME_ENGAGEMENT,PAUSED,2024-12-18,2411.88,554689,408636,2324,4.35,0.42
120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],OUTCOME_ENGAGEMENT,EXCLUÍDA,,2076.01,493790,173570,1591,4.2,0.32
120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,OUTCOME_ENGAGEMENT,PAUSED,2026-03-26,838.91,237454,153740,2633,3.53,1.11
120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,OUTCOME_ENGAGEMENT,PAUSED,2026-02-03,789.69,201153,116706,2989,3.93,1.49
120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,OUTCOME_ENGAGEMENT,PAUSED,2025-02-08,703.92,108528,71412,2737,6.49,2.52
120242272123350716,CAMP | 2026 | Autismo | Engajamento | SC,OUTCOME_ENGAGEMENT,PAUSED,2026-04-02,381.4,72352,39667,973,5.27,1.34
120239032107950716,PEPE [2026][Visualização][Reels],LINK_CLICKS,EXCLUÍDA,,99.94,16135,14588,545,6.19,3.38
120246784137180716,CAMP | 2026 | Institucional | Reconhecimento | SC,OUTCOME_AWARENESS,ACTIVE,2026-06-29,78.57,16103,12642,296,4.88,1.84
